Examens,Sujet,Nom,Prénom,Matiere,Lycée,Surveillant,Date
378,Examen Ier Trimestre;1,Wright,James,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Raymond-Philippe Bernard;4,1971-03-24 19:38:31
379,Examen 3eme Trimestre;3,Hudson,Ashley,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Jacqueline de Bruneau;7,1988-06-14 02:57:02
380,Examen 3eme Trimestre;3,Glover,Logan,Francais;5,Chavagne;2,Emmanuel Fernandes-Lopez	;	2	,1998-06-03 07:58:45
381,Examen 3eme Trimestre;3,Watkins,Nicole,Allemand;3,La Perverie;4,Juliette Renault;13,1984-10-03 05:17:07
382,Examen 2eme Trimestre;2,Robles,John,Francais;5,Notre Dame de toutes Aides;3,Eleonore Leroy Le Giraud;14,2009-01-31 22:23:27
383,Examen Ier Trimestre;1,Barnes,Mark,Anglais;4,Chavagne;2,Daniel Bertin-Martin;5,1977-05-29 00:43:23
384,Examen 2eme Trimestre;2,Drake,Ann,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marcel Didier;10,2019-06-08 21:18:48
385,Examen 3eme Trimestre;3,Hicks,William,Math;1,Loquidy;1,Eleonore Leroy Le Giraud;14,2015-05-31 00:50:19
386,Examen 2eme Trimestre;2,Mills,Brittany,Anglais;4,Notre Dame de toutes Aides;3,Sophie Parent;11,1983-05-24 03:03:36
387,Examen Ier Trimestre;1,Wells,Rebecca,Francais;5,Notre Dame de toutes Aides;3,Raymond-Philippe Bernard;4,2003-09-25 17:56:23
388,Examen 2eme Trimestre;2,Jones,Barbara,Math;1,La Perverie;4,Thibaut Boulay;6,1974-08-07 23:04:04
389,Examen Ier Trimestre;1,Berg,Paula,Anglais;4,Notre Dame de toutes Aides;3,Marcel Didier;10,2014-04-05 22:19:44
390,Examen 3eme Trimestre;3,Leon,Kathryn,Anglais;4,La Perverie;4,Thibaut Boulay;6,2003-01-26 18:37:21
391,Examen 2eme Trimestre;2,Lucas,Cynthia,Hist-Géo;2,La Perverie;4,Raymond-Philippe Bernard;4,2005-12-10 02:04:40
392,Examen Ier Trimestre;1,Wolfe,Melissa,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Augustin Gauthier-Allard;9,1997-02-27 19:47:21
393,Examen 2eme Trimestre;2,Owen,Jessica,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marcel Didier;10,2018-10-02 22:39:29
394,Examen Ier Trimestre;1,Kim,Nicholas,Anglais;4,La Perverie;4,Raymond-Philippe Bernard;4,1995-07-28 09:36:18
395,Examen 3eme Trimestre;3,Smith,Brian,Math;1,Chavagne;2,Théophile-Michel Renault;12,1993-04-23 10:09:12
396,Examen 3eme Trimestre;3,Pittman,Don,Math;1,La Perverie;4,Sophie Parent;11,1992-11-24 13:33:02
397,Examen Ier Trimestre;1,Douglas,Evan,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Raymond-Philippe Bernard;4,2014-07-31 19:39:26
398,Examen Ier Trimestre;1,Cannon,Eric,Francais;5,Chavagne;2,Marcel Didier;10,1970-06-30 23:57:14
399,Examen 3eme Trimestre;3,Vega,Stephanie,Allemand;3,Chavagne;2,Pauline Boulay	;3,2004-11-28 21:39:24
400,Examen 2eme Trimestre;2,Barker,Angela,Anglais;4,Chavagne;2,Augustin Gauthier-Allard;9,1984-02-24 11:08:47
401,Examen Ier Trimestre;1,Ball,Shelby,Anglais;4,Chavagne;2,Sophie Parent;11,1998-03-24 10:47:56
402,Examen Ier Trimestre;1,Rodriguez,Donald,Math;1,Loquidy;1,Marcel Didier;10,2023-08-16 01:28:29
403,Examen 3eme Trimestre;3,Myers,David,Math;1,Chavagne;2,Jacqueline de Bruneau;7,2006-04-14 15:04:57
404,Examen 3eme Trimestre;3,Stanley,Kenneth,Allemand;3,Loquidy;1,Eleonore Leroy Le Giraud;14,2022-11-23 11:56:27
405,Examen Ier Trimestre;1,Allen,Nathaniel,Hist-Géo;2,La Perverie;4,Emmanuel Fernandes-Lopez	;	2	,2003-05-27 09:48:42
406,Examen Ier Trimestre;1,Lane,Katrina,Hist-Géo;2,Loquidy;1,Sophie Parent;11,1988-04-29 01:31:22
407,Examen 3eme Trimestre;3,Hall,Zachary,Allemand;3,La Perverie;4,Augustin Gauthier-Allard;9,1979-05-23 03:40:28
408,Examen 3eme Trimestre;3,Weiss,Kevin,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Sophie Parent;11,2015-12-18 00:17:28
409,Examen 3eme Trimestre;3,Hernandez,Jared,Math;1,Notre Dame de toutes Aides;3,Eleonore Leroy Le Giraud;14,1977-03-19 21:31:58
410,Examen Ier Trimestre;1,Gibbs,Kaylee,Anglais;4,Notre Dame de toutes Aides;3,Eleonore Leroy Le Giraud;14,2002-05-13 18:55:30
411,Examen Ier Trimestre;1,Johnson,Thomas,Anglais;4,Chavagne;2,Eleonore Leroy Le Giraud;14,2017-09-02 12:06:48
412,Examen 3eme Trimestre;3,Smith,Jennifer,Allemand;3,Loquidy;1,Augustin Gauthier-Allard;9,1991-06-01 13:30:29
413,Examen 3eme Trimestre;3,Jones,Danielle,Math;1,Notre Dame de toutes Aides;3,Augustin Gauthier-Allard;9,2021-05-19 12:12:23
414,Examen Ier Trimestre;1,Jensen,Christopher,Allemand;3,Chavagne;2,Eleonore Leroy Le Giraud;14,1999-10-05 11:13:16
415,Examen 3eme Trimestre;3,Clark,Maria,Anglais;4,La Perverie;4,Marguerite Michel;8,1979-01-02 05:28:47
416,Examen Ier Trimestre;1,Lambert,Tiffany,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marguerite Michel;8,2000-07-26 18:22:15
417,Examen 2eme Trimestre;2,Smith,Jessica,Math;1,Notre Dame de toutes Aides;3,Théophile-Michel Renault;12,1983-07-06 11:10:16
418,Examen Ier Trimestre;1,Calhoun,Ruth,Francais;5,La Perverie;4,Marguerite Michel;8,1978-04-07 09:07:42
419,Examen 3eme Trimestre;3,Nguyen,Stephanie,Hist-Géo;2,Chavagne;2,Jacqueline de Bruneau;7,1994-11-25 21:31:54
420,Examen 2eme Trimestre;2,Ford,John,Anglais;4,La Perverie;4,Jacqueline de Bruneau;7,1988-01-30 22:48:44
421,Examen 3eme Trimestre;3,Yu,Emily,Allemand;3,Loquidy;1,Emmanuel Fernandes-Lopez	;	2	,1989-08-07 23:31:10
422,Examen Ier Trimestre;1,Wright,Brandy,Hist-Géo;2,Notre Dame de toutes Aides;3,Théophile-Michel Renault;12,2000-09-13 21:59:46
423,Examen 2eme Trimestre;2,Reyes,Chad,Francais;5,Notre Dame de toutes Aides;3,Marguerite Michel;8,1988-06-27 01:43:49
424,Examen 2eme Trimestre;2,Jackson,Jose,Anglais;4,Chavagne;2,Eleonore Leroy Le Giraud;14,1992-08-01 11:26:40
425,Examen 3eme Trimestre;3,Carroll,Dwayne,Anglais;4,Notre Dame de toutes Aides;3,Marguerite Michel;8,2018-04-02 11:12:38
426,Examen 2eme Trimestre;2,Johnston,Patricia,Allemand;3,Notre Dame de toutes Aides;3,Juliette Renault;13,1996-12-16 17:24:42
427,Examen Ier Trimestre;1,Rodriguez,Scott,Anglais;4,Chavagne;2,Marcel Didier;10,2001-06-22 23:24:02
428,Examen Ier Trimestre;1,Brown,Richard,Hist-Géo;2,La Perverie;4,Sophie Parent;11,1985-03-15 04:47:22
429,Examen Ier Trimestre;1,Smith,Raymond,Hist-Géo;2,La Perverie;4,Corinne du Gaillard;1,1988-07-20 22:24:31
430,Examen 2eme Trimestre;2,Miles,Jonathan,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Daniel Bertin-Martin;5,1989-07-09 10:37:34
431,Examen Ier Trimestre;1,Mitchell,Tracy,Math;1,Notre Dame de toutes Aides;3,Pauline Boulay	;3,1983-03-19 21:55:45
432,Examen 2eme Trimestre;2,Gomez,Jason,Anglais;4,Chavagne;2,Pauline Boulay	;3,1992-08-06 06:55:08
433,Examen 3eme Trimestre;3,Hall,Alyssa,Anglais;4,Chavagne;2,Raymond-Philippe Bernard;4,2015-11-10 21:14:48
434,Examen 2eme Trimestre;2,Lucas,Jamie,Anglais;4,Loquidy;1,Marguerite Michel;8,1992-09-23 09:00:15
435,Examen 2eme Trimestre;2,Williams,Abigail,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,1979-12-30 01:21:13
436,Examen 2eme Trimestre;2,Mullen,Ronald,Allemand;3,Notre Dame de toutes Aides;3,Corinne du Gaillard;1,2022-09-09 05:20:04
437,Examen Ier Trimestre;1,Mcmillan,Lindsay,Hist-Géo;2,La Perverie;4,Théophile-Michel Renault;12,2003-08-23 01:38:07
438,Examen 3eme Trimestre;3,Johnson,Christina,Francais;5,Loquidy;1,Daniel Bertin-Martin;5,2011-04-14 01:10:37
439,Examen 2eme Trimestre;2,Huffman,Joseph,Math;1,Notre Dame de toutes Aides;3,Jacqueline de Bruneau;7,1980-02-15 22:08:53
440,Examen 3eme Trimestre;3,Hale,Joshua,Hist-Géo;2,La Perverie;4,Thibaut Boulay;6,2024-08-31 12:44:00
441,Examen Ier Trimestre;1,Caldwell,Mary,Anglais;4,Chavagne;2,Théophile-Michel Renault;12,1971-10-17 04:05:47
442,Examen Ier Trimestre;1,Garza,Sarah,Allemand;3,Notre Dame de toutes Aides;3,Théophile-Michel Renault;12,1977-02-07 12:08:49
443,Examen Ier Trimestre;1,Mathews,Christine,Math;1,Loquidy;1,Augustin Gauthier-Allard;9,2010-07-31 18:11:35
444,Examen 3eme Trimestre;3,Prince,Emily,Allemand;3,Notre Dame de toutes Aides;3,Augustin Gauthier-Allard;9,1991-03-22 16:26:06
445,Examen 2eme Trimestre;2,Graham,Christopher,Hist-Géo;2,Loquidy;1,Juliette Renault;13,1999-12-21 11:25:04
446,Examen 2eme Trimestre;2,Watts,Wendy,Allemand;3,Loquidy;1,Augustin Gauthier-Allard;9,2010-08-16 10:55:41
447,Examen 2eme Trimestre;2,Benitez,Melanie,Math;1,Loquidy;1,Augustin Gauthier-Allard;9,2010-01-28 00:52:30
448,Examen 2eme Trimestre;2,Webster,Jerry,Francais;5,Notre Dame de toutes Aides;3,Jacqueline de Bruneau;7,2021-05-28 22:11:16
449,Examen Ier Trimestre;1,Guzman,Kristin,Hist-Géo;2,Loquidy;1,Thibaut Boulay;6,2010-12-16 07:36:44
450,Examen Ier Trimestre;1,Jackson,Nancy,Anglais;4,Notre Dame de toutes Aides;3,Sophie Parent;11,2023-02-27 07:33:18
451,Examen 2eme Trimestre;2,House,Martin,Hist-Géo;2,Loquidy;1,Eleonore Leroy Le Giraud;14,1997-04-16 19:11:06
452,Examen Ier Trimestre;1,Jones,Michael,Anglais;4,Loquidy;1,Eleonore Leroy Le Giraud;14,1987-07-20 21:23:57
453,Examen Ier Trimestre;1,Wagner,Shawn,Hist-Géo;2,Chavagne;2,Augustin Gauthier-Allard;9,1975-05-13 13:01:05
454,Examen 2eme Trimestre;2,Williams,Jeffrey,Francais;5,La Perverie;4,Sophie Parent;11,1972-08-24 12:15:35
455,Examen 2eme Trimestre;2,Kim,Frank,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marcel Didier;10,1997-12-18 19:58:53
456,Examen 2eme Trimestre;2,Davis,Christian,Anglais;4,La Perverie;4,Eleonore Leroy Le Giraud;14,1983-07-05 15:58:37
457,Examen 3eme Trimestre;3,Oliver,Vincent,Francais;5,Notre Dame de toutes Aides;3,Augustin Gauthier-Allard;9,2017-07-28 01:40:04
458,Examen 3eme Trimestre;3,Pearson,Erica,Allemand;3,Chavagne;2,Marguerite Michel;8,1993-10-02 22:06:02
459,Examen 3eme Trimestre;3,Carter,Andrew,Math;1,Chavagne;2,Jacqueline de Bruneau;7,1981-11-29 20:10:59
460,Examen Ier Trimestre;1,Ochoa,Alvin,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Daniel Bertin-Martin;5,1998-07-13 14:21:52
461,Examen 3eme Trimestre;3,Garcia,Daniel,Hist-Géo;2,Notre Dame de toutes Aides;3,Marcel Didier;10,1984-06-12 20:04:22
462,Examen 3eme Trimestre;3,Patterson,Debra,Francais;5,Chavagne;2,Marcel Didier;10,2007-01-24 13:47:10
463,Examen 3eme Trimestre;3,Porter,Peter,Math;1,Notre Dame de toutes Aides;3,Jacqueline de Bruneau;7,1995-08-15 15:42:32
464,Examen 3eme Trimestre;3,Rodriguez,Timothy,Anglais;4,Loquidy;1,Jacqueline de Bruneau;7,1989-06-23 13:00:07
465,Examen Ier Trimestre;1,Fischer,Antonio,Anglais;4,Loquidy;1,Pauline Boulay	;3,1995-03-03 22:42:07
466,Examen Ier Trimestre;1,Ramirez,Andrew,Hist-Géo;2,Notre Dame de toutes Aides;3,Corinne du Gaillard;1,1996-04-05 17:02:32
467,Examen 2eme Trimestre;2,Ray,Kevin,Hist-Géo;2,Loquidy;1,Raymond-Philippe Bernard;4,1981-02-05 13:59:30
468,Examen Ier Trimestre;1,Sanchez,Jennifer,Anglais;4,Notre Dame de toutes Aides;3,Marguerite Michel;8,1996-08-30 07:24:41
469,Examen 3eme Trimestre;3,Allen,Dennis,Allemand;3,Chavagne;2,Augustin Gauthier-Allard;9,1988-04-22 21:37:30
470,Examen 2eme Trimestre;2,Simmons,James,Allemand;3,Loquidy;1,Thibaut Boulay;6,1997-09-25 10:24:23
471,Examen 3eme Trimestre;3,Mullen,Ellen,Anglais;4,Chavagne;2,Augustin Gauthier-Allard;9,1985-07-27 12:44:58
472,Examen Ier Trimestre;1,Duncan,Michael,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Sophie Parent;11,1987-05-21 15:33:15
473,Examen 3eme Trimestre;3,Williams,Tamara,Anglais;4,Loquidy;1,Juliette Renault;13,1975-03-18 19:18:16
474,Examen 3eme Trimestre;3,Rivera,Kyle,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marcel Didier;10,2018-06-24 21:09:52
475,Examen 2eme Trimestre;2,Anderson,Kristen,Allemand;3,Chavagne;2,Sophie Parent;11,1976-11-25 01:52:52
476,Examen 3eme Trimestre;3,Long,Laura,Francais;5,Loquidy;1,Eleonore Leroy Le Giraud;14,1974-01-21 16:39:29
477,Examen Ier Trimestre;1,Luna,Donald,Francais;5,Chavagne;2,Raymond-Philippe Bernard;4,2015-07-07 20:46:18
478,Examen 3eme Trimestre;3,Salas,Adam,Math;1,Chavagne;2,Marcel Didier;10,1974-11-06 15:29:33
479,Examen 2eme Trimestre;2,Williams,Mary,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marcel Didier;10,2007-03-02 07:32:31
480,Examen 2eme Trimestre;2,Phillips,Nathaniel,Francais;5,Chavagne;2,Corinne du Gaillard;1,1994-01-24 00:49:50
481,Examen 3eme Trimestre;3,Kelly,Benjamin,Anglais;4,Loquidy;1,Jacqueline de Bruneau;7,1988-10-10 10:40:21
482,Examen Ier Trimestre;1,Carter,Susan,Hist-Géo;2,Chavagne;2,Daniel Bertin-Martin;5,1990-09-26 19:16:06
483,Examen 2eme Trimestre;2,Thompson,Annette,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,2019-01-12 00:59:58
484,Examen 2eme Trimestre;2,Ford,Catherine,Allemand;3,Loquidy;1,Théophile-Michel Renault;12,2025-01-20 07:58:34
485,Examen 2eme Trimestre;2,Miller,Kayla,Francais;5,Loquidy;1,Marguerite Michel;8,1984-01-21 04:08:26
486,Examen 3eme Trimestre;3,Bowers,Michael,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Raymond-Philippe Bernard;4,1972-09-02 17:56:15
487,Examen 2eme Trimestre;2,Hawkins,Diane,Math;1,Loquidy;1,Théophile-Michel Renault;12,2003-10-20 05:22:32
488,Examen 3eme Trimestre;3,Perez,Joseph,Anglais;4,La Perverie;4,Corinne du Gaillard;1,1978-08-08 13:36:35
489,Examen Ier Trimestre;1,Mays,Monica,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marguerite Michel;8,1993-08-10 05:13:35
490,Examen 2eme Trimestre;2,Lee,Lindsey,Math;1,Notre Dame de toutes Aides;3,Sophie Parent;11,2014-05-23 07:18:36
491,Examen 2eme Trimestre;2,Vasquez,Cassandra,Francais;5,Loquidy;1,Pauline Boulay	;3,1991-09-27 03:30:20
492,Examen 3eme Trimestre;3,Castro,Carrie,Hist-Géo;2,La Perverie;4,Théophile-Michel Renault;12,1999-08-27 08:06:06
493,Examen Ier Trimestre;1,Williamson,Dakota,Math;1,Chavagne;2,Théophile-Michel Renault;12,2011-09-04 09:36:54
494,Examen Ier Trimestre;1,Fernandez,Ana,Francais;5,Loquidy;1,Daniel Bertin-Martin;5,1981-01-07 01:20:09
495,Examen Ier Trimestre;1,Clark,Natalie,Francais;5,Notre Dame de toutes Aides;3,Pauline Boulay	;3,2013-04-14 03:19:58
496,Examen Ier Trimestre;1,Melendez,Glenn,Math;1,Notre Dame de toutes Aides;3,Eleonore Leroy Le Giraud;14,1989-03-11 04:39:00
497,Examen 3eme Trimestre;3,Webb,Linda,Allemand;3,Notre Dame de toutes Aides;3,Raymond-Philippe Bernard;4,1999-06-24 13:28:43
498,Examen 3eme Trimestre;3,Patton,Justin,Anglais;4,Loquidy;1,Daniel Bertin-Martin;5,2012-07-21 01:30:58
499,Examen Ier Trimestre;1,Perez,Natasha,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marcel Didier;10,2021-09-11 21:07:42
500,Examen 3eme Trimestre;3,Fox,Lauren,Math;1,La Perverie;4,Emmanuel Fernandes-Lopez	;	2	,1984-03-28 23:41:07
501,Examen 3eme Trimestre;3,Jimenez,Lucas,Hist-Géo;2,Loquidy;1,Thibaut Boulay;6,1984-04-20 16:20:56
502,Examen 2eme Trimestre;2,Hayes,Angela,Anglais;4,La Perverie;4,Eleonore Leroy Le Giraud;14,1976-08-04 10:27:53
503,Examen 2eme Trimestre;2,Callahan,Sara,Allemand;3,Chavagne;2,Jacqueline de Bruneau;7,2008-05-25 08:37:44
504,Examen 2eme Trimestre;2,Armstrong,William,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Raymond-Philippe Bernard;4,1988-05-28 06:43:52
505,Examen 3eme Trimestre;3,Ibarra,Alison,Anglais;4,La Perverie;4,Augustin Gauthier-Allard;9,1994-01-05 05:11:09
506,Examen 3eme Trimestre;3,Sampson,Julia,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Théophile-Michel Renault;12,1970-08-17 14:20:57
507,Examen 2eme Trimestre;2,Walker,Rodney,Francais;5,Chavagne;2,Juliette Renault;13,2001-07-26 18:45:36
508,Examen 2eme Trimestre;2,Lopez,Keith,Francais;5,Chavagne;2,Marcel Didier;10,1984-07-14 02:13:47
509,Examen 2eme Trimestre;2,Hughes,Renee,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Pauline Boulay	;3,2019-02-26 14:50:21
510,Examen Ier Trimestre;1,Rice,Nathan,Anglais;4,Loquidy;1,Sophie Parent;11,2019-06-22 08:18:41
511,Examen Ier Trimestre;1,Smith,William,Anglais;4,Notre Dame de toutes Aides;3,Marcel Didier;10,2025-04-10 23:46:27
512,Examen 3eme Trimestre;3,Green,Joshua,Hist-Géo;2,La Perverie;4,Thibaut Boulay;6,2008-06-11 23:33:11
513,Examen 3eme Trimestre;3,Martin,Anthony,Anglais;4,Notre Dame de toutes Aides;3,Emmanuel Fernandes-Lopez	;	2	,1986-01-20 01:03:35
514,Examen 3eme Trimestre;3,Martin,Brent,Allemand;3,Loquidy;1,Eleonore Leroy Le Giraud;14,2017-03-05 00:05:14
515,Examen 2eme Trimestre;2,Edwards,Thomas,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Sophie Parent;11,2008-12-16 02:39:06
516,Examen 2eme Trimestre;2,Chavez,Richard,Math;1,Notre Dame de toutes Aides;3,Juliette Renault;13,2008-12-31 06:08:45
517,Examen 2eme Trimestre;2,Wright,David,Francais;5,Chavagne;2,Théophile-Michel Renault;12,1988-03-21 23:27:09
518,Examen 2eme Trimestre;2,Blankenship,Carla,Allemand;3,La Perverie;4,Jacqueline de Bruneau;7,1981-02-11 18:10:33
519,Examen 2eme Trimestre;2,Sanchez,Scott,Hist-Géo;2,Loquidy;1,Marcel Didier;10,1980-04-01 14:22:25
520,Examen Ier Trimestre;1,Washington,Pamela,Francais;5,Loquidy;1,Théophile-Michel Renault;12,2003-10-12 08:31:53
521,Examen Ier Trimestre;1,Russo,Jackie,Math;1,La Perverie;4,Eleonore Leroy Le Giraud;14,1980-06-14 04:36:05
522,Examen 3eme Trimestre;3,Perez,Michael,Math;1,Notre Dame de toutes Aides;3,Thibaut Boulay;6,2017-01-17 02:21:40
523,Examen Ier Trimestre;1,Morales,Miguel,Francais;5,Chavagne;2,Daniel Bertin-Martin;5,1988-07-28 23:52:00
524,Examen 3eme Trimestre;3,Wilson,Bryan,Anglais;4,Chavagne;2,Pauline Boulay	;3,2019-08-14 09:14:22
525,Examen 2eme Trimestre;2,Nelson,John,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Emmanuel Fernandes-Lopez	;	2	,2020-09-12 04:47:20
526,Examen 2eme Trimestre;2,Chavez,Faith,Francais;5,Chavagne;2,Thibaut Boulay;6,2020-09-06 01:06:05
527,Examen 3eme Trimestre;3,Barton,Debra,Anglais;4,Loquidy;1,Jacqueline de Bruneau;7,1988-06-06 19:55:10
528,Examen 2eme Trimestre;2,Perez,Henry,Allemand;3,La Perverie;4,Augustin Gauthier-Allard;9,1986-02-15 10:04:46
529,Examen Ier Trimestre;1,Frederick,Roberta,Anglais;4,Chavagne;2,Théophile-Michel Renault;12,1988-04-23 08:41:21
530,Examen 3eme Trimestre;3,Lewis,Jennifer,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Raymond-Philippe Bernard;4,2010-11-09 11:06:15
531,Examen 3eme Trimestre;3,Lopez,Brenda,Hist-Géo;2,Chavagne;2,Eleonore Leroy Le Giraud;14,2006-04-29 23:26:14
532,Examen Ier Trimestre;1,Lara,Julie,Allemand;3,La Perverie;4,Pauline Boulay	;3,1989-10-28 01:31:27
533,Examen Ier Trimestre;1,Mendez,Russell,Math;1,La Perverie;4,Augustin Gauthier-Allard;9,2024-07-23 23:29:18
534,Examen 2eme Trimestre;2,Bailey,Lisa,Francais;5,Notre Dame de toutes Aides;3,Théophile-Michel Renault;12,2006-05-10 15:51:04
535,Examen 3eme Trimestre;3,Massey,Robert,Francais;5,Loquidy;1,Augustin Gauthier-Allard;9,1985-02-12 18:09:18
536,Examen 2eme Trimestre;2,Thompson,Adam,Anglais;4,Loquidy;1,Raymond-Philippe Bernard;4,2001-07-05 23:17:03
537,Examen 2eme Trimestre;2,Summers,David,Anglais;4,Notre Dame de toutes Aides;3,Eleonore Leroy Le Giraud;14,1970-02-24 17:41:06
538,Examen 2eme Trimestre;2,Kelly,Sara,Anglais;4,Notre Dame de toutes Aides;3,Emmanuel Fernandes-Lopez	;	2	,1984-06-08 21:31:45
539,Examen Ier Trimestre;1,Hunt,Steven,Francais;5,Chavagne;2,Emmanuel Fernandes-Lopez	;	2	,2017-09-16 21:45:55
540,Examen 2eme Trimestre;2,Baker,Mark,Hist-Géo;2,Notre Dame de toutes Aides;3,Thibaut Boulay;6,1992-06-09 07:22:39
541,Examen 3eme Trimestre;3,Ballard,Alison,Francais;5,La Perverie;4,Marcel Didier;10,2004-08-03 16:23:24
542,Examen 2eme Trimestre;2,Fernandez,Stefanie,Francais;5,La Perverie;4,Marguerite Michel;8,1977-04-15 09:57:15
543,Examen 2eme Trimestre;2,Williams,Alex,Allemand;3,Notre Dame de toutes Aides;3,Juliette Renault;13,1999-05-27 21:45:24
544,Examen 2eme Trimestre;2,Grimes,Steven,Allemand;3,Notre Dame de toutes Aides;3,Juliette Renault;13,1984-01-29 22:19:16
545,Examen Ier Trimestre;1,Clements,Kari,Francais;5,Notre Dame de toutes Aides;3,Raymond-Philippe Bernard;4,2001-11-19 11:23:19
546,Examen 3eme Trimestre;3,Jackson,Gabriella,Math;1,Loquidy;1,Théophile-Michel Renault;12,1974-09-19 06:23:55
547,Examen 3eme Trimestre;3,Fernandez,Samantha,Hist-Géo;2,Loquidy;1,Augustin Gauthier-Allard;9,1977-01-02 03:08:55
548,Examen 3eme Trimestre;3,Ingram,Christopher,Anglais;4,Loquidy;1,Raymond-Philippe Bernard;4,2024-02-08 09:47:55
549,Examen Ier Trimestre;1,Ramirez,Rebecca,Francais;5,Notre Dame de toutes Aides;3,Corinne du Gaillard;1,2017-03-02 15:39:50
550,Examen 3eme Trimestre;3,Allen,Michael,Francais;5,Notre Dame de toutes Aides;3,Emmanuel Fernandes-Lopez	;	2	,2000-05-19 01:12:12
551,Examen 2eme Trimestre;2,Hopkins,Bill,Francais;5,Loquidy;1,Théophile-Michel Renault;12,1978-06-24 15:08:11
552,Examen 2eme Trimestre;2,Brock,Lisa,Francais;5,Loquidy;1,Jacqueline de Bruneau;7,2002-02-19 05:47:25
553,Examen 3eme Trimestre;3,Hill,Denise,Math;1,Chavagne;2,Sophie Parent;11,2016-10-17 02:07:28
554,Examen 3eme Trimestre;3,Hogan,Matthew,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Corinne du Gaillard;1,2007-09-04 20:30:01
555,Examen 3eme Trimestre;3,Anderson,Denise,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Corinne du Gaillard;1,1987-10-20 06:39:38
556,Examen 2eme Trimestre;2,Ballard,Lori,Hist-Géo;2,Notre Dame de toutes Aides;3,Emmanuel Fernandes-Lopez	;	2	,1988-05-26 00:00:05
557,Examen Ier Trimestre;1,Campbell,John,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,2002-10-19 08:59:12
558,Examen Ier Trimestre;1,Bates,John,Francais;5,La Perverie;4,Sophie Parent;11,1971-03-21 23:42:15
559,Examen 3eme Trimestre;3,Case,Sara,Allemand;3,Loquidy;1,Augustin Gauthier-Allard;9,2009-09-19 21:46:13
560,Examen Ier Trimestre;1,Berg,Diana,Francais;5,Loquidy;1,Jacqueline de Bruneau;7,2020-12-27 12:13:08
561,Examen 2eme Trimestre;2,Horn,Joseph,Hist-Géo;2,Chavagne;2,Pauline Boulay	;3,1970-10-17 15:27:16
562,Examen 2eme Trimestre;2,Mays,Mark,Hist-Géo;2,La Perverie;4,Emmanuel Fernandes-Lopez	;	2	,1995-05-31 15:11:45
563,Examen 2eme Trimestre;2,Schwartz,Jessica,Allemand;3,Notre Dame de toutes Aides;3,Juliette Renault;13,1975-07-19 07:33:23
564,Examen 2eme Trimestre;2,Wright,Lucas,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Corinne du Gaillard;1,1972-03-10 16:16:24
565,Examen 2eme Trimestre;2,Williams,Stephen,Francais;5,Notre Dame de toutes Aides;3,Pauline Boulay	;3,2001-09-08 10:49:07
566,Examen 2eme Trimestre;2,Gonzales,William,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Eleonore Leroy Le Giraud;14,1972-08-14 23:28:41
567,Examen 3eme Trimestre;3,Warner,Lauren,Francais;5,La Perverie;4,Jacqueline de Bruneau;7,2023-07-28 10:45:23
568,Examen 2eme Trimestre;2,Tran,Cheyenne,Allemand;3,Chavagne;2,Augustin Gauthier-Allard;9,1979-04-05 17:04:11
569,Examen Ier Trimestre;1,Snyder,Monica,Hist-Géo;2,Loquidy;1,Jacqueline de Bruneau;7,2003-04-01 01:43:53
